algorithm,type,state_bits,samples,mean_changed_bits,min_changed_bits,max_changed_bits,std_changed_bits,avalanche_percent,absolute_deviation_from_50_percent
Xoodoo,permutation,384,1000,191.978,158,220,9.741992733646562,49.99427083333333,0.0057291666666685614
BLAKE3-compression,compression function,512,1000,256.07,224,291,11.208422222986101,50.013671875,0.013671875
Ascon-p[320],permutation,320,1000,160.059,136,187,9.027569773533518,50.0184375,0.018437499999997442
GBS-photonic,GBS-derived 1600-bit research permutation,1600,1000,800.618,739,867,20.034306812301978,50.038625,0.03862500000000324
BLAKE2b-compression,compression function,1024,1000,256.219,217,291,11.29453875134375,50.042773437499996,0.04277343749999574
Haraka-style-512,AES-based experiment,512,1000,256.248,220,288,11.319833684053606,50.0484375,0.04843749999999858
Keccak-f[1600],permutation,1600,1000,800.96,734,870,20.038311653777967,50.06,0.060000000000002274
ChaCha,ARX core,512,1000,256.385,221,293,11.341666914894317,50.0751953125,0.0751953125
Gimli,permutation,384,1000,192.51,162,222,9.712684296127215,50.1328125,0.1328125
Haraka-style-256,AES-based experiment,256,1000,127.58,94,160,11.010214567610607,49.8359375,0.1640625
