algorithm,type,state_bits,samples,output_bits_tested,mean_abs_correlation,max_abs_correlation
Gimli,permutation,384,1000,128,0.025063967809888003,0.13118274403862695
Keccak-f[1600],permutation,1600,1000,128,0.025094239839202108,0.1128689414343221
ChaCha,ARX core,512,1000,128,0.025167855285720343,0.134094797705977
GBS-photonic,GBS-derived 1600-bit research permutation,1600,1000,128,0.02517017258619492,0.10834483836874666
Ascon-p[320],permutation,320,1000,128,0.02520848254813399,0.12172498581997741
Haraka-style-512,AES-based experiment,512,1000,128,0.025215346846970018,0.13988070250513726
Xoodoo,permutation,384,1000,128,0.02523880180261428,0.13049283706038795
Haraka-style-256,AES-based experiment,256,1000,128,0.025277237431582594,0.12422374650800029
BLAKE3-compression,compression function,512,1000,128,0.025344044138512788,0.12533489216756383
BLAKE2b-compression,compression function,1024,1000,128,0.02570189807309045,0.11284053561405358
