algorithm,type,state_bits,input_difference,samples,unique_output_differences,unique_difference_ratio,max_empirical_probability,most_common_count,most_common_difference_hex
Keccak-f[1600],permutation,1600,bit 0 flipped,2000,2000,1.0,0.0005,1,ad98bc9bc6a92d2d4409b9a02761e49fc4fd6dae6746ff5348c4a9c4854070c854b9112cdbf02f0a45825530216573a82f4d3f4c654bf484054dd5e650ff1f0b0fdeb3a4d2f67a737992c611ec9dc4160dd3881e9980d538715c5f96cff19d8e84d31149a2a402e8edc75bb4c793f76fa31015e35af22f237b32eb2ee3021a91a848d38213f5d3a77be3415fcf2da4818ade09bfec5f9485f73cae68615947a6391b14dc6f4632379d3f3493dde946eaded0e5137d98525289f2b49bc786d2018f37d6bf6af83f64
Xoodoo,permutation,384,bit 0 flipped,2000,2000,1.0,0.0005,1,ca254894e43e1fa6e9ca69ad5004071bfe2d5d15284585e5a8d49a998e1b40cf0f09bcdae4f3f8d95e66115dac97620a
Ascon-p[320],permutation,320,bit 0 flipped,2000,2000,1.0,0.0005,1,daabd5add745dcf13ef90b629bdcac67a817ab34376607f91b00dfeaf8959d9b0e983c891edcdd22
Gimli,permutation,384,bit 0 flipped,2000,2000,1.0,0.0005,1,04fb3b046cc6027be29f5f1e1e4ae1fef5d2261ea3fb3f19cfdcdf3352644aad8b699a38b0214c85bcfdf0a40b250277
ChaCha,ARX core,512,bit 0 flipped,2000,2000,1.0,0.0005,1,1ed5e4e10ae22bce24c7049a7033326ab53da08b2a53cd4014c83a45871ea2fb13d7b8c6ef279d5965526d8c96dc08aefa19be67a1a0b2db323a8508a0a63445
BLAKE2b-compression,compression function,1024,bit 0 flipped,2000,2000,1.0,0.0005,1,0b7760a20b38548d00d8991dc835a5287fdffc2c8bc1e937ed0e83b9780936d5b81c97b1ae3ba1bf6cd8f57055e70bfc1db13082eec2d19641914c84c0b4939c
BLAKE3-compression,compression function,512,bit 0 flipped,2000,2000,1.0,0.0005,1,d921cc3974e93dc5cafb214129488a62e4cc4e37fd43e4d9ee9716be152549e6ffd61347cdac65233198379984d561690feaf952fce86a04b0967cf54f51fd47
Haraka-style-256,AES-based experiment,256,bit 0 flipped,2000,2000,1.0,0.0005,1,2fe15817a466e88053d51ed8e15da03a2fe15817a466e88053d51ed8e15da03a
Haraka-style-512,AES-based experiment,512,bit 0 flipped,2000,2000,1.0,0.0005,1,e480d3189f12ae25a7aa53f1c2e7ec163d8009867e64c9762e216d3c5f7d585dcefc5953a872615db3fc640263f78f5017fc83cd4904060e3a775acffe6d3b1b
GBS-photonic,GBS-derived 1600-bit research permutation,1600,bit 0 flipped,2000,2000,1.0,0.0005,1,ac9d4e45e50f84026edf800bce95c2a5a864d424328749e621ecea5541bff407feee5f0100d70d4b19845f7fb3090dc2a17c8b46ce3bc3a69bb3ce2e3976fb50e64fe3bc20aeb5980c9e75307a1188477342c77fafeb7fd5db191f06454c79599e16ec25c50a2e886b332d654d796afbc18694acd733c7f0d005dcef79e8757f1a7fdbd9051415e574a340ad12f819d4139d7a9e4b8df30a95a4882515b424799b21d36ffab45287ab65f7d7964c7cf7064fd206e04921b75d5f9a0ab684b0a381a6d4f5387d59a1
