algorithm,round,mean_changed_bits,std_changed_bits,avalanche_percent,ideal_avalanche_percent,deviation_from_50_percent,samples
Keccak-f[1600],1,22.04,2.3221376428461844,1.3775,50.0,48.6225,100
Keccak-f[1600],2,344.12,29.342381524602832,21.5075,50.0,28.4925,100
Keccak-f[1600],3,802.86,22.845559655206436,50.17875,50.0,0.17875000000000085,100
Keccak-f[1600],4,800.33,19.64588270021755,50.020625,50.0,0.020625000000002558,100
Keccak-f[1600],5,800.59,19.008288994674153,50.036875,50.0,0.03687500000000199,100
Keccak-f[1600],6,802.9,18.250501584362226,50.18125,50.0,0.18124999999999858,100
Keccak-f[1600],7,797.93,20.108420769881107,49.870625,50.0,0.12937500000000313,100
Keccak-f[1600],8,803.61,21.84004985749295,50.225625,50.0,0.22562500000000085,100
Keccak-f[1600],9,799.51,22.943274360558004,49.969375,50.0,0.03062500000000057,100
Keccak-f[1600],10,799.72,21.891873867125707,49.9825,50.0,0.017499999999998295,100
Keccak-f[1600],11,801.75,18.03104785831059,50.109375,50.0,0.109375,100
Keccak-f[1600],12,802.68,18.986374699832094,50.1675,50.0,0.16749999999999687,100
Keccak-f[1600],13,802.3,20.577765778734204,50.14375,50.0,0.14374999999999716,100
Keccak-f[1600],14,802.56,20.69027000131397,50.16,50.0,0.1599999999999966,100
Keccak-f[1600],15,799.11,19.398997683156498,49.944375,50.0,0.05562499999999915,100
Keccak-f[1600],16,798.84,21.030386865608815,49.9275,50.0,0.07249999999999801,100
Keccak-f[1600],17,801.78,21.595257616318253,50.11125,50.0,0.1112499999999983,100
Keccak-f[1600],18,797.93,18.357424942105865,49.870625,50.0,0.12937500000000313,100
Keccak-f[1600],19,800.9,19.057859801195416,50.05625,50.0,0.05624999999999858,100
Keccak-f[1600],20,803.54,19.066825597981392,50.22125,50.0,0.22124999999999773,100
Keccak-f[1600],21,798.83,22.430163223263047,49.926875,50.0,0.07312499999999744,100
Keccak-f[1600],22,802.24,18.680254794619884,50.14,50.0,0.14000000000000057,100
Keccak-f[1600],23,798.43,19.356963093471563,49.901875,50.0,0.09812500000000313,100
Keccak-f[1600],24,799.98,19.831604202699417,49.99875,50.0,0.0012499999999988631,100
Xoodoo,1,19.21,2.5477064353665395,5.002604166666667,50.0,44.997395833333336,100
Xoodoo,2,127.43,11.111241918421944,33.184895833333336,50.0,16.815104166666664,100
Xoodoo,3,191.26,9.978380670633928,49.807291666666664,50.0,0.1927083333333357,100
Xoodoo,4,192.89,10.113392461024494,50.231770833333336,50.0,0.2317708333333357,100
Xoodoo,5,191.4,9.213516640723501,49.84375,50.0,0.15625,100
Xoodoo,6,193.18,9.59206321745623,50.307291666666664,50.0,0.3072916666666643,100
Xoodoo,7,191.65,9.489361400957378,49.908854166666664,50.0,0.0911458333333357,100
Xoodoo,8,192.42,9.612891176315104,50.109375,50.0,0.109375,100
Xoodoo,9,190.41,10.9055587716179,49.5859375,50.0,0.4140625,100
Xoodoo,10,191.13,8.508646819975002,49.7734375,50.0,0.2265625,100
