input,output
0,0
1,135
2,188
3,33
4,86
5,122
6,252
7,18
8,59
9,115
10,165
11,88
12,146
13,158
14,43
15,162
16,245
17,242
18,156
19,89
20,193
21,195
22,176
23,177
24,47
25,241
26,167
27,121
28,153
29,30
30,150
31,24
32,35
33,68
34,13
35,137
36,249
37,101
38,107
39,26
40,213
41,5
42,225
43,236
44,173
45,190
46,53
47,201
48,216
49,76
50,87
51,189
52,65
53,34
54,127
55,120
56,244
57,214
58,169
59,166
60,90
61,2
62,196
63,63
64,246
65,95
66,61
67,104
68,179
69,66
70,200
71,181
72,79
73,9
74,72
75,27
76,149
77,248
78,250
79,145
80,46
81,124
82,105
83,117
84,240
85,100
86,41
87,163
88,148
89,232
90,109
91,247
92,154
93,45
94,230
95,220
96,128
97,211
98,206
99,74
100,57
101,208
102,136
103,28
104,212
105,119
106,140
107,78
108,191
109,20
110,96
111,54
112,155
113,234
114,239
115,235
116,178
117,25
118,31
119,14
120,21
121,132
122,159
123,8
124,192
125,10
126,198
127,185
128,233
129,224
130,17
131,15
132,215
133,194
134,219
135,19
136,205
137,142
138,152
139,32
140,229
141,1
142,77
143,123
144,227
145,40
146,80
147,69
148,133
149,231
150,51
151,73
152,182
153,16
154,226
155,184
156,97
157,22
158,58
159,102
160,50
161,237
162,29
163,4
164,44
165,82
166,62
167,56
168,141
169,223
170,210
171,55
172,207
173,118
174,93
175,202
176,36
177,113
178,49
179,129
180,106
181,39
182,238
183,85
184,222
185,221
186,75
187,164
188,171
189,218
190,253
191,23
192,217
193,110
194,83
195,180
196,186
197,11
198,3
199,67
200,134
201,116
202,94
203,84
204,37
205,143
206,174
207,144
208,60
209,92
210,138
211,157
212,70
213,204
214,131
215,160
216,161
217,197
218,203
219,99
220,170
221,64
222,7
223,139
224,209
225,12
226,183
227,98
228,187
229,130
230,108
231,112
232,71
233,168
234,243
235,172
236,42
237,228
238,114
239,199
240,81
241,254
242,251
243,38
244,255
245,48
246,125
247,52
248,151
249,103
250,91
251,126
252,147
253,111
254,175
255,6
