algorithm,type,state_bits,samples,empirical_probability,absolute_bias,bias_percent,input_mask_hex,output_mask_hex
Xoodoo,permutation,384,5000,0.4998,0.00019999999999997797,0.019999999999997797,e2f64b89396680c5cdafe5c49293fd7b55caf9e4b2d6eb7610512a723b87fcad6a41f17a38ee0321d8e846d9ca2c5e8d,dab5ceb067a35ca867a3f07f14aa5afd6078e097c136b24f7857781cb95d259ddc4985d9720c523046af240846f03937
Gimli,permutation,384,5000,0.4982,0.0018000000000000238,0.18000000000000238,2b0c78c45a4452749752672ae83e929467245387e9477d06948316f72525dd9ec2ccf62158a250bf72733ef1f504b3c8,b1972962c8b60db54edd362f8c6369f659f4f26bf200bd6c7b7ec9dc81f4b41efc22f421bbcfbad5ce58870b35a2de72
Ascon-p[320],permutation,320,5000,0.5028,0.0028000000000000247,0.28000000000000247,b04e7dc45079f1790eb60c94c24d902b9cd0cd6642299e7f631f2abd889cb5ad965d3af0a27ced9c,56aab498b53d771abe7930c3909806c79346f53b63f8003d16254bb918b8e53075a74cc4c739749d
Haraka-style-512,AES-based experiment,512,5000,0.4966,0.003400000000000014,0.3400000000000014,7ac872d607e016d49270b3949176267b465b563a4d53aeb3f06d325bb4a9727fb69409f814760627101d6c6d782efdb507e44bbfee805e1bbb826dc185a86cfb,687425e005c084fb323481395ab1357417cfef7f97f16a8e0d116b50346d80f72e43c7030d10f5e7424c0960180295f567eea217d9828310c2f5a76d88f0c10b
Keccak-f[1600],permutation,1600,5000,0.4964,0.003599999999999992,0.3599999999999992,be3bace7aef8c7e161875128684189d43944c2e3bc735565e60695e0ced79bf28bfadfe78faca26f429d8240ed3f0cb6c1bae38a5d931e53da2a3b70d1a039b8a12a2899977022cbf337c3a35ba5a007b4137e042e4bd8ece16b94e14d0159d95cd06b3fb76711665476c73b97757a98855582df135527f749c276e3ff14a5eda40f363a79b84b95cb18f3fba094b254bda9a3c970ac602c3ecad5d74661dc317cf74df426d999e3bcc7fda1ec5ef065f22d5c425e9ca8f6fb3c82d69b7c201ebc82edd7137a9342,81b21a2501f5250637623d6c3ea7dfee0576644c20fe589790f6b0e2621939d1d278d106a1cc4cc4b181c0e40d6cfc87246a7d19b429c3ad87260ab055931f4568ddbea287abf376727fb13fe68305641d36fbd1514de5641a6406a2bb374def56b45c15dc294d13c6ae3c00c33850f7586131eefaa27f3316a1c3c463e69bb1cf40208121dcc22cf69de8c8afb4b424ac1dad7a167b58729d881e779802e9439acd34be1fc02122c81de262eb918b261d43386d63faa2abc1af9ce85318ede3f490c09982645622
BLAKE2b-compression,compression function,1024,5000,0.5038,0.0038000000000000256,0.38000000000000256,c6416808072270da0b92353c5765315704a051974fb4261a42bdceae2b66ee6fc7809c850f206dba0aa92a92668cae9242c80f2af1a354f2ad74b473f63e7a76366df2956fd9c688fbdfa2157716825e2b80fa6f7d68e67a5b342a9bf14895b7dff4d962328a946bf65a3dca597ceee7dbc963f170e14d0767b00a0a1d205998,ea122c981472cad1035558f3be3782f54a3ea2014e1dac8dde7759073ebc0b49494ec7e8ceece3581a095130b88c4d860551c383cc9143771e392e784146f4385e5e98c681abe42016bdbe6a20183e9292d4afb55ba13f740a012cbab21b01bb3eaaef27dde6c39030fb85258c671e2aa44b8c45b79ecd0fecfa6fa16ffe94a3
GBS-photonic,GBS-derived 1600-bit research permutation,1600,5000,0.509,0.009000000000000008,0.9000000000000008,512e96d5d0f6c35a8436df91ca2030d004f3cd0c03c3633320936571eebe4c9753be876dc3ad30c2f27fb24c19c4cd5ed1b23ac3c3348aa75ff3d6d2bf11f60a044782d47058690dcffc5839fe42481cf030145068d83ec5cab949912094f81fef7cb8d0ee985a59d9bcdeffc95e070ac6ea9efe515da565889bf9d58c8345db851947254f47968613e9a74cd4fe0a4b8c52afe178d1bff54ddbc9810a229c38dd94ac9e4e118bdc66c834053e7192e123b7096f0567253ba4acc16c25914aaf344c45f90dbc2027,cccb982655d7c9c0ab547ec4fe2f77b2a997c870ed68b848da1267028f3d9d48a7740ebec45219edc3aa882e49b8bcf6e9cbf82b004920c904852245792b2512675750abd223ddc366d30d4f235b92bb10ebb9e5115f35a38987edeaa6ea8d3d2ef32ed756d7504cbb8850ac0eee1223fad4ec61dbde8fececd85d9105c25edf9e67f4368bd3715afb863f67d990f6303118afd492afb0a79c749ebb3a950849446eb98e2a4d5e2064fe124491639518cfecdea35dd9004a3b25eb8fc162beb286ef9c48e1636678
ChaCha,ARX core,512,5000,0.5112,0.011199999999999988,1.1199999999999988,ab35f690b23b679b7cf21d7b423e795819bf2e5bfb77bf057be300fd34dfa1e2d14720b3e8222787c93c64f6d9a189328653fc96aa25ad36fe08d8dd474257c3,eb7e942d63a98349ae063c094d54a239bf55ec6d288ffba3c5f1d0383470f20d67f5bf8e01cab5c0337b9ce4427cdfb157fa56c503bf81ca85936b738a5bcedd
BLAKE3-compression,compression function,512,5000,0.5112,0.011199999999999988,1.1199999999999988,c2b0c27723ede331a849c2bde37b75803b6d113a4f1bf44e81969b5b285824c6ed4e88f4df8a959c37181c16953ac6c4cfd91e9dba39e18a386f080d9d414733,ad194455b59a4f1ddbe4af2ee1d9b3654b78143e14e6fb899cf82ca37c8d0da97a7cf7a84eabb7d7201f7b9a7c68b1bf2ede7c11cbf51430c44710492b50fc70
Haraka-style-256,AES-based experiment,256,5000,0.5166,0.016599999999999948,1.6599999999999948,41faa45f9f5663188cacabbd3f3fbc8cb51d90f26406647c22fb5ee49c5fcdb4,83560175edd50734196c46d631c0c9536bfdc91b04c8afe0a399e83df32280d9
