algorithm,type,state_bytes,rounds,latency_us,throughput_MB_s
Ascon-p[320],permutation,40,12,100.722000006499,0.3971327018667127
BLAKE3-compression,compression function,64,7,106.73849999875529,0.5995962094347057
ChaCha,ARX core,64,20,147.13599999595317,0.43497172684971896
BLAKE2b-compression,compression function,128,12,172.4244999968505,0.7423538998363809
Gimli,permutation,48,24,274.5409999988624,0.17483727385053197
Xoodoo,permutation,48,12,280.30049999870243,0.1712447890753752
Keccak-f[1600],permutation,200,24,816.9740000084857,0.24480583225160488
Haraka-style-256,AES-based experiment,32,5,1179.480999999214,0.027130576923258046
GBS-photonic,GBS-derived 1600-bit research permutation,200,8,2334.2704999959096,0.08567987300544239
Haraka-style-512,AES-based experiment,64,5,2470.310499993502,0.025907674359222595
