algorithm,type,state_bits,input_positions_tested,output_bits_tested,samples,mean_abs_SAC_bias,max_abs_SAC_bias,mean_abs_SAC_bias_percent,max_abs_SAC_bias_percent
BLAKE3-compression,compression function,512,64,256,1000,0.01255468750000001,0.06499999999999995,1.255468750000001,6.499999999999995
Gimli,permutation,384,64,256,1000,0.01257415771484376,0.062000000000000055,1.2574157714843759,6.2000000000000055
Xoodoo,permutation,384,64,256,1000,0.012587280273437512,0.061000000000000054,1.258728027343751,6.100000000000005
BLAKE2b-compression,compression function,1024,64,256,1000,0.012594604492187508,0.066,1.2594604492187509,6.6000000000000005
ChaCha,ARX core,512,64,256,1000,0.01260333251953126,0.061000000000000054,1.260333251953126,6.100000000000005
GBS-photonic,GBS-derived 1600-bit research permutation,1600,64,256,1000,0.01261175537109376,0.065,1.261175537109376,6.5
Haraka-style-256,AES-based experiment,256,64,256,1000,0.012616210937500011,0.05900000000000005,1.261621093750001,5.900000000000006
Ascon-p[320],permutation,320,64,256,1000,0.012617492675781262,0.061000000000000054,1.261749267578126,6.100000000000005
Keccak-f[1600],permutation,1600,64,256,1000,0.012652099609375009,0.06699999999999995,1.265209960937501,6.699999999999995
Haraka-style-512,AES-based experiment,512,64,256,1000,0.01268786621093751,0.056999999999999995,1.268786621093751,5.699999999999999
