algorithm,stream_bytes,shannon_entropy_bits_per_byte,entropy_deficit_from_8,runs_applicable,runs_proportion_ones,runs_observed_runs,runs_expected_runs,runs_p_value,runs_passes_alpha_0.01
Keccak-f[1600],1000000,7.99981392280498,0.00018607719502039544,True,0.499956375,4000957,3999999.96954975,0.6322835378927167,True
Xoodoo,1000000,7.9998182921039565,0.0001817078960435481,True,0.4999525,3997078,3999999.9639,0.14402039137347622,True
Ascon-p[320],1000000,7.999796404742499,0.00020359525750102136,True,0.500108875,3999419,3999999.81033975,0.7715062785260717,True
Gimli,1000000,7.9998424792888185,0.00015752071118146915,True,0.500019125,4001225,3999999.99414775,0.5402050620201857,True
ChaCha,1000000,7.999829650808708,0.00017034919129166326,True,0.500144,4001289,3999999.6682240004,0.519143692103184,True
BLAKE2b-compression,1000000,7.99981794526718,0.0001820547328197364,True,0.500138375,4002999,3999999.6936377496,0.13370423443370055,True
BLAKE3-compression,1000000,7.999813193213465,0.00018680678653471006,True,0.49988975,3998105,3999999.8055189997,0.3434335620547824,True
Haraka-style-256,1000000,7.999615441358228,0.0003845586417723368,True,0.500064,3999257,3999999.9344639997,0.7102895533177219,True
Haraka-style-512,1000000,7.999802094467897,0.00019790553210263795,True,0.4997495,3999437,3999998.9959959993,0.7787118812642226,True
GBS-photonic,1000000,7.999784949493128,0.0002150505068723163,True,0.500099625,3997364,3999999.84119775,0.18753021178891074,True
